City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Atuona,PF,-9.8,-139.03,80.6,73,1,22.46,clear sky,0.0,0
1,Oktyabrskiy,RU,54.48,53.47,64.8,87,2,5.55,clear sky,0.0,0
2,Bredasdorp,ZA,-34.53,20.04,48.2,66,0,2.24,clear sky,0.0,0
3,Cilegon,ID,-6.02,106.05,78.8,83,20,4.7,haze,0.0,0
4,Carutapera,BR,-1.2,-46.02,77.54,89,36,5.68,scattered clouds,0.0,0
5,Hermanus,ZA,-34.42,19.23,55.99,72,1,20.0,clear sky,0.0,0
6,Zhanaozen,KZ,43.3,52.8,80.37,36,0,3.89,clear sky,0.0,0
7,Tual,ID,-5.67,132.75,79.07,81,57,22.91,broken clouds,0.0,0
8,Carnarvon,AU,-24.87,113.63,57.2,93,27,8.05,scattered clouds,0.0,0
9,Mataura,NZ,-46.19,168.86,39.0,83,90,3.0,overcast clouds,0.0,0
10,Hobart,AU,-42.88,147.33,39.99,93,75,5.82,broken clouds,0.0,0
11,Busselton,AU,-33.65,115.33,55.0,88,37,13.87,light rain,0.12,0
12,Eydhafushi,MV,5.1,73.07,83.39,69,92,3.31,overcast clouds,0.0,0
13,Namanga,KE,-2.54,36.79,63.16,69,18,5.82,few clouds,0.0,0
14,Saskylakh,RU,71.92,114.08,59.54,72,89,16.42,overcast clouds,0.0,0
15,Baijiantan,CN,45.63,85.18,75.49,30,100,13.98,overcast clouds,0.0,0
16,Mitsamiouli,KM,-11.38,43.28,77.52,73,0,4.94,clear sky,0.0,0
17,Chuy,UY,-33.7,-53.46,48.54,72,10,8.97,clear sky,0.0,0
18,Leshukonskoye,RU,64.9,45.76,48.29,97,47,4.94,scattered clouds,0.0,0
19,Palmer,US,42.16,-72.33,88.0,45,40,13.87,scattered clouds,0.0,0
20,Jumla,NP,29.27,82.18,59.2,69,41,2.73,scattered clouds,0.0,0
21,Tuktoyaktuk,CA,69.45,-133.04,57.2,67,40,9.17,scattered clouds,0.0,0
22,Hilo,US,19.73,-155.09,79.0,83,90,7.02,light rain,0.76,0
23,Jamestown,US,42.1,-79.24,75.0,60,1,12.75,clear sky,0.0,0
24,Leningradskiy,RU,69.38,178.42,43.11,71,23,10.13,few clouds,0.0,0
