City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Klaksvik,FO,,62.23,-6.59,50.0,87,28,6.93
1,Ribeira Grande,PT,,38.52,-28.7,68.34,78,14,8.66
2,Qaanaaq,GL,,77.48,-69.36,43.09,62,0,0.92
3,Mikkeli,FI,,61.69,27.27,55.0,92,23,1.01
4,Port Lincoln,AU,,-34.73,135.87,56.79,52,62,13.6
5,Ostrovnoy,RU,,68.05,39.51,55.24,87,91,5.55
6,Warmbad,NA,,-28.45,18.73,59.47,28,0,14.36
7,La Ronge,CA,,55.1,-105.28,59.0,87,90,6.93
8,Tiksi,RU,,71.69,128.87,34.95,94,100,7.49
9,Kijang,KR,,35.24,129.21,78.8,65,75,6.93
10,Rikitea,PF,,-23.12,-134.97,68.13,69,2,19.37
11,Kimbe,PG,,-5.55,150.14,90.19,55,100,3.18
12,Airai,TL,,-8.93,125.41,71.28,63,39,5.01
13,Severo-Kurilsk,RU,,50.68,156.12,48.34,91,100,17.65
14,Hauterive,FR,,46.09,3.45,60.8,67,5,2.24
15,Hobart,AU,,-42.88,147.33,51.01,66,40,4.7
16,Porbandar,IN,,21.64,69.61,84.2,83,75,11.41
17,Kodiak,US,,57.79,-152.41,66.2,45,1,16.11
18,Saint-Philippe,RE,,-21.36,55.77,68.0,59,47,8.05
19,Sibiti,CG,,-3.68,13.35,65.93,94,0,2.42
20,Flinders,AU,,-34.58,150.86,66.99,60,18,11.99
21,Surgut,RU,,61.25,73.42,71.6,68,0,2.24
22,Lasa,IT,,46.62,10.7,53.6,76,75,4.7
23,Pacific Grove,US,,36.62,-121.92,60.8,77,20,9.17
24,Vallenar,CL,,-28.57,-70.76,58.87,33,0,3.29
25,Tuatapere,NZ,,-46.13,167.68,48.09,84,98,6.35
26,Homer,US,,59.64,-151.55,55.4,87,90,8.05
27,Saskylakh,RU,,71.92,114.08,64.2,47,7,10.2
28,Kavieng,PG,,-2.57,150.8,85.73,67,98,11.03
29,Bengkulu,ID,,-3.8,102.27,82.22,67,100,1.1
30,Chivay,PE,,-15.64,-71.6,38.86,54,0,0.78
31,Jamestown,US,,42.1,-79.24,71.6,83,1,3.36
32,Longhua,CN,,23.61,114.19,86.56,77,96,6.2
33,Victoria,HK,,22.29,114.16,88.0,74,100,21.0
34,Ushuaia,AR,,-54.8,-68.3,39.2,64,75,11.41
35,Bonavista,CA,,48.65,-53.11,48.0,81,12,1.99
36,Santarem,BR,,-2.44,-54.71,75.2,94,20,4.7
37,Pandan,PH,,14.05,124.17,87.66,63,91,3.22
38,Katsuura,JP,,35.13,140.3,81.0,94,75,17.22
39,Lorengau,PG,,-2.02,147.27,85.6,70,34,12.86
40,Hilo,US,,19.73,-155.09,78.8,69,90,13.87
41,Dzhebariki-Khaya,RU,,62.22,135.8,74.35,41,4,5.17
42,Cape Town,ZA,,-33.93,18.42,64.99,48,100,28.86
43,Plouzane,FR,,48.38,-4.62,59.0,100,90,9.17
44,Chuy,UY,,-33.7,-53.46,47.32,92,95,11.79
45,Punta Arenas,CL,,-53.15,-70.92,32.0,87,14,8.05
46,Turayf,SA,,31.67,38.66,73.4,43,0,11.41
